소환사명,소속,경기수,승,패,승률,킬,데스,어시스트,KDA,킬관여
Yagao,Bilibili Gaming,72,43,29,59.70%,187,185,497,3.7,64.60%
Mikyx,G2 Esports,79,42,37,53.20%,66,295,674,2.5,64.20%
ClearLove,EDward Gaming,75,41,34,54.70%,198,165,635,5,68.80%
Rookie,INVICTUS GAMING,61,40,21,65.60%,245,138,423,4.8,69.10%
Broxah,Team Liquid,71,40,31,56.30%,185,113,429,5.4,68.30%
369,JDG Intel Esports Club,59,40,19,67.80%,153,146,322,3.3,58.20%
Vulcan,Evil Geniuses,86,40,46,46.50%,58,265,777,3.2,66.20%
Bdd,kt Rolster,68,39,29,57.40%,201,147,374,3.9,69.30%
Nuguri,DWG KIA,56,38,18,67.90%,144,159,327,3,56.80%
Smeb,KT Rolster,54,37,17,68.50%,181,126,333,4.1,64.80%
Ambition,Gen.G e-sports,48,36,12,75%,97,107,316,3.9,67.50%
sOAZ,Fnatic,74,36,38,48.60%,160,211,418,2.7,56.30%
Kaiwing,PSG Talon,76,36,40,47.40%,59,178,632,3.9,70.10%
Baolan,Invictus Gaming,52,36,16,69.20%,40,149,506,3.7,63%
Kanvi,JD Gaming,53,36,17,67.90%,167,138,364,3.8,71.20%
957,Team WE,52,35,17,67.30%,136,95,309,4.7,62.50%
Clid,한화생명e스포츠,57,35,22,61.40%,182,148,385,3.8,69.10%
Zven,Cloud 9,88,34,54,38.60%,213,233,422,2.7,61.60%
Hylissang,MAD Lions,78,34,44,43.60%,55,324,610,2.1,65.60%
Ning,Invictus Gaming,49,34,15,69.40%,148,157,366,3.3,63.40%
Knight,JDG Intel Esports Club,53,34,19,64.20%,188,88,301,5.6,67.90%
Pawn,KING-ZONE DragonX,46,33,13,71.70%,236,94,351,6.2,67.10%
Looper,Royal Never Give Up,50,33,17,66%,150,100,377,5.3,60.40%
Doublelift,Team Liquid,82,33,49,40.20%,303,214,340,3,65.90%
Betty,Flash Wolves,72,33,39,45.80%,226,116,368,5.1,69.90%
Letme,Royal Never Give Up,48,33,15,68.80%,76,79,262,4.3,57.90%
CuVee,한화생명e스포츠,48,32,16,66.70%,117,121,218,2.8,59%
Duke,Invictus Gaming,45,32,13,71.10%,109,79,248,4.5,52.80%
Crisp,FunPlus Phoenix,48,31,17,64.60%,50,115,452,4.4,69.40%
Levi,100 Thieves Academy,74,30,44,40.50%,245,214,433,3.2,72.90%
